name,occurences,%
Steel Halberd of Wit,1,0.001
Bear Chest of Pain,8,0.008
Clown Shoes of Arcane,14,0.013999999999999999
Clown Gloves,351,0.35100000000000003
Bear Head,290,0.29
Reinforced Platelegs,599,0.599
Ancient Shield,197,0.197
Silver Belt,380,0.38
Engraved Ring of Arcane,4,0.004
Enchanted Amulet of Brilliance,7,0.006999999999999999
Lava-Forged Scepter of Torment,1,0.001
Arcane Breastplate of Fiery Might,17,0.017
Champion Boots of Moon,11,0.011000000000000001
Bear Claws,364,0.364
Pegasus Helmet,334,0.334
Lava-Forged Platelegs,583,0.583
Quiver,199,0.199
Snake Skin Belt,398,0.398
Enflamed Bracelet of Moon,10,0.01
Dragonscale Amulet of Abyss,6,0.006
Wood Mace of Torment,1,0.001
Divine Cloak of Wit,8,0.008
Leather Boots of Pain,12,0.012
Wizard Gloves,353,0.35300000000000004
Lion Head,320,0.32
Steel Platelegs,560,0.5599999999999999
Wood Shield,182,0.182
Gold Belt,374,0.374
Crimson Ring of Wit,3,0.003
Silver Choker of Fiery Might,8,0.008
Ice Flame of Healing,2,0.002
Werewolf Chest of Torment,10,0.01
Reinforced Shoes of Torment,11,0.011000000000000001
Forged Gauntlets,389,0.38899999999999996
Mystic Helm,301,0.301
Ancient Greaves,631,0.631
Reinforced Buckler,203,0.203
Imbued Bracer,5,0.005
Imbued Pendant of Sun,6,0.006
Shadow Mace of Insanity,2,0.002
Steel Breastplate of Arcane,8,0.008
Pegasus Sandles of Warding,11,0.011000000000000001
Dragonscale Greaves,567,0.567
Wood Buckler,229,0.22899999999999998
Gorgon Sash,409,0.409
Cryptic Ring of Destruction,5,0.005
Worn Amulet of Suffering,6,0.006
Ancient Fire Flame of Doom,2,0.002
Leather Jacket of Might,10,0.01
Ancient Slippers of Sun,16,0.016
Lion Claws,370,0.37
Forged Helm,276,0.27599999999999997
Wood Greaves,591,0.5910000000000001
Talisman,196,0.196
Arcane Belt,398,0.398
Divine Bracer of Torment,6,0.006
Crimson Necklace of Wit,4,0.004
Shadow Wand of Shadows,2,0.002
Cast Iron Breastplate of Shadows,12,0.012
Mystic Boots of Shadows,11,0.011000000000000001
Werewolf Claws,362,0.362
Mystic Cap,272,0.272
Cast Iron Platelegs,576,0.5760000000000001
Reinforced Paivse,208,0.208
Crystal Bracer of Shadows,9,0.009000000000000001
Divine Choker of Storms,11,0.011000000000000001
Demonic Scythe of Fiery Might,4,0.004
Leather Breastplate of Healing,14,0.013999999999999999
Bronze Boots of Doom,11,0.011000000000000001
Demon Hands,398,0.398
Fluffy Sash,392,0.392
Crystal Ring of Healing,7,0.006999999999999999
Possessed Choker of Healing,2,0.002
Lava-Forged Warhammer of Wit,2,0.002
Jacket of Pain,14,0.013999999999999999
Bear Paws,10,0.01
Leather Gloves,401,0.40099999999999997
Silk Hood,282,0.28200000000000003
Possessed Bracer of Pain,5,0.005
Cryptic Choker of Sun,4,0.004
Forged Morningstar of Arcane,3,0.003
Robe of Might,9,0.009000000000000001
Leather Boots of Torment,14,0.013999999999999999
Silk Gloves,371,0.371
Fluffy Hat,320,0.32
Wolf Hide,600,0.6
Reinforced Shield,202,0.202
Hemp Cord,361,0.361
Enflamed Bracelet of Lightning,11,0.011000000000000001
Divine Necklace of Torment,4,0.004
